"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1972-Q3","Q3-1972","PER","Persons","3","Thousands",,,1856.406,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1972-Q4","Q4-1972","PER","Persons","3","Thousands",,,1908.078,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1973-Q1","Q1-1973","PER","Persons","3","Thousands",,,1903.024,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1973-Q2","Q2-1973","PER","Persons","3","Thousands",,,1909.932,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1973-Q3","Q3-1973","PER","Persons","3","Thousands",,,1948.561,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1973-Q4","Q4-1973","PER","Persons","3","Thousands",,,1997.446,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1974-Q1","Q1-1974","PER","Persons","3","Thousands",,,2008.39,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1974-Q2","Q2-1974","PER","Persons","3","Thousands",,,2017.942,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1974-Q3","Q3-1974","PER","Persons","3","Thousands",,,2014.462,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1974-Q4","Q4-1974","PER","Persons","3","Thousands",,,2049.42,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1975-Q1","Q1-1975","PER","Persons","3","Thousands",,,1994.345,,
